Timestamp,Sonar_Dist_cm,IR_Left,IR_Right,Laser_Left_cm,Laser_Right_cm,Laser_Active,Gyro_Z_degs,Target_Throttle,Target_Steering,Actual_PWM_L,Actual_PWM_R,Battery_V,Current_A,RPM,Status_Msg
1772535724.414,43.8,0,0,200.0,200.0,1,-0.70,20.2,26.8,20.0,11.5,12.00,5.78,0.0,🔥 CARVE d=44cm L:200 R:200
1772535724.470,43.8,0,0,200.0,200.0,1,-0.70,34.4,38.9,40.0,11.5,12.00,5.78,0.0,🔥 CARVE d=44cm L:200 R:200
1772535724.525,43.8,0,0,200.0,200.0,1,-0.77,44.3,44.3,60.0,8.0,11.70,5.77,0.0,🔥 CARVE d=44cm L:200 R:200
1772535724.580,43.8,0,0,200.0,200.0,1,-0.77,51.3,46.7,80.0,3.7,11.70,5.77,0.0,🔥 CARVE d=44cm L:200 R:200
1772535724.635,42.4,0,0,200.0,200.0,1,-0.77,56.2,48.5,100.0,1.0,11.70,5.77,0.0,🔥 CARVE d=42cm L:200 R:200
1772535724.691,42.6,0,0,200.0,200.0,1,-0.70,59.6,49.2,100.0,1.2,11.39,5.77,0.0,🔥 CARVE d=43cm L:200 R:200
1772535724.746,43.6,0,0,200.0,200.0,1,-0.70,61.9,49.0,100.0,3.3,11.39,5.77,0.0,🔥 CARVE d=44cm L:200 R:200
1772535724.801,40.1,0,0,200.0,200.0,1,-0.70,63.6,50.6,100.0,3.1,11.39,5.77,0.0,🔥 CARVE d=40cm L:200 R:200
1772535724.856,38.2,0,0,83.7,200.0,1,-33.92,64.8,77.8,100.0,19.8,11.35,5.77,0.0,🔥 CARVE d=38cm L:84 R:200
1772535724.911,39.9,0,0,83.7,200.0,1,-33.92,65.6,90.0,100.0,20.8,11.35,5.77,0.0,🔥 CARVE d=40cm L:84 R:200
1772535724.966,38.3,0,0,83.7,200.0,1,-71.45,66.2,95.5,100.0,20.4,11.25,5.76,0.0,🔥 CARVE d=38cm L:84 R:200
1772535725.024,83.6,0,0,83.7,200.0,1,-71.45,63.1,83.3,100.0,22.6,11.25,5.76,0.0,🐍 SLALOM d=84cm L:84 R:200
1772535725.081,82.7,0,0,83.7,200.0,1,-71.45,61.0,74.2,100.0,23.4,11.25,5.76,0.0,🐍 SLALOM d=83cm L:84 R:200
1772535725.138,80.6,0,0,83.7,200.0,1,-81.34,59.2,67.6,100.0,21.7,11.22,5.76,0.0,🐍 SLALOM d=81cm L:84 R:200
1772535725.196,79.1,0,0,200.0,200.0,1,-81.34,57.6,53.8,100.0,13.5,11.22,5.76,0.0,🐍 SLALOM d=79cm L:200 R:200
1772535725.253,78.9,0,0,200.0,200.0,1,-81.34,56.5,43.5,100.0,5.8,11.22,5.76,0.0,🐍 SLALOM d=79cm L:200 R:200
1772535725.309,56.0,0,0,200.0,200.0,1,-81.37,52.5,36.7,100.0,2.8,11.30,5.76,0.0,🐍 SLALOM d=56cm L:200 R:200
