Timestamp,Sonar_Dist_cm,IR_Left,IR_Right,Laser_Left_cm,Laser_Right_cm,Laser_Active,Gyro_Z_degs,Target_Throttle,Target_Steering,Actual_PWM_L,Actual_PWM_R,Battery_V,Current_A,RPM,Status_Msg
1772535778.803,216.2,0,0,200.0,200.0,0,-0.96,10.5,0.0,10.6,10.4,12.00,5.78,0.0,🛣️ CRUISE [0%] Δd +33.5cm/t
1772535778.869,216.2,0,0,200.0,200.0,0,-0.96,19.3,0.0,19.4,19.1,12.00,5.78,0.0,🛣️ CRUISE [10%] Δd +20.1cm/t
1772535778.934,216.6,0,0,200.0,200.0,0,-0.98,31.5,0.0,31.7,31.4,11.71,5.77,0.0,🛣️ CRUISE [19%] Δd +11.9cm/t
1772535778.999,216.2,0,0,200.0,200.0,0,-0.98,43.6,0.0,43.8,43.5,11.71,5.77,0.0,🛣️ CRUISE [31%] Δd +7.3cm/t
1772535779.064,216.2,0,0,200.0,200.0,0,-0.98,54.2,0.0,54.4,54.1,11.71,5.77,0.0,🛣️ CRUISE [43%] Δd +4.4cm/t
1772535779.129,216.6,0,0,200.0,200.0,0,-0.79,65.0,0.0,65.1,64.9,11.36,5.77,0.0,🛣️ CRUISE [54%] Δd +2.5cm/t
1772535779.194,216.6,0,0,200.0,200.0,0,-0.79,72.5,0.0,72.6,72.4,11.36,5.77,0.0,🛣️ CRUISE [64%] Δd +1.5cm/t
1772535779.259,216.5,0,0,200.0,200.0,0,-0.82,77.7,0.0,77.9,77.6,10.75,5.76,0.0,🛣️ CRUISE [72%] Δd +0.9cm/t
1772535779.325,215.9,0,0,200.0,200.0,0,-0.82,81.4,0.0,81.5,81.3,10.75,5.76,0.0,🛣️ CRUISE [77%] Δd +0.8cm/t
1772535779.390,215.0,0,0,200.0,200.0,0,-4.65,84.0,0.0,84.7,83.3,10.56,5.76,0.0,🛣️ CRUISE [81%] Δd +0.8cm/t
1772535779.455,213.7,0,0,200.0,200.0,0,-4.65,85.8,0.0,86.5,85.1,10.56,5.76,0.0,🛣️ CRUISE [83%] Δd +1.0cm/t
1772535779.519,211.7,0,0,200.0,200.0,0,-4.65,87.1,0.0,87.8,86.4,10.56,5.76,0.0,🛣️ CRUISE [85%] Δd +1.4cm/t
1772535779.584,209.9,0,0,200.0,200.0,0,-6.55,87.9,0.0,88.9,87.0,10.56,5.76,24.0,🛣️ CRUISE [87%] Δd +1.6cm/t
1772535779.649,208.4,0,0,200.0,200.0,0,-6.55,88.6,0.0,89.5,87.6,10.56,5.76,24.0,🛣️ CRUISE [87%] Δd +1.5cm/t
1772535779.713,206.0,0,0,200.0,200.0,0,-3.83,89.0,0.0,89.6,88.4,10.61,5.76,24.0,🛣️ CRUISE [88%] Δd +1.9cm/t
1772535779.778,203.4,0,0,200.0,200.0,0,-3.83,89.3,0.0,89.9,88.7,10.61,5.76,24.0,🛣️ CRUISE [88%] Δd +2.2cm/t
1772535779.843,201.6,0,0,200.0,200.0,0,-3.83,89.5,0.0,90.1,88.9,10.61,5.76,24.0,🛣️ CRUISE [89%] Δd +2.0cm/t
1772535779.907,198.9,0,0,200.0,200.0,0,-8.24,89.7,0.0,90.9,88.4,10.64,5.76,24.0,🛣️ CRUISE [89%] Δd +2.3cm/t
1772535779.971,197.0,0,0,200.0,200.0,0,-8.24,89.8,0.0,91.0,88.5,10.64,5.76,24.0,🛣️ CRUISE [89%] Δd +2.1cm/t
1772535780.035,194.6,0,0,200.0,200.0,0,-10.66,89.8,0.0,91.4,88.2,10.69,5.76,24.0,🛣️ CRUISE [89%] Δd +2.2cm/t
1772535780.099,192.2,0,0,200.0,200.0,0,-10.66,89.9,0.0,91.5,88.3,10.69,5.76,24.0,🛣️ CRUISE [89%] Δd +2.3cm/t
1772535780.163,189.3,0,0,200.0,200.0,0,-11.26,89.9,0.0,91.6,88.2,11.05,5.76,24.0,🛣️ CRUISE [89%] Δd +2.6cm/t
1772535780.226,186.8,0,0,200.0,200.0,0,-11.26,89.9,0.0,91.6,88.3,11.05,5.76,24.0,🛣️ CRUISE [89%] Δd +2.5cm/t
1772535780.290,184.2,0,0,200.0,200.0,0,-11.26,90.0,0.0,91.6,88.3,11.05,5.76,24.0,🛣️ CRUISE [89%] Δd +2.5cm/t
1772535780.353,181.8,0,0,200.0,200.0,0,-10.21,90.0,0.0,91.5,88.4,11.13,5.76,24.0,🛣️ CRUISE [89%] Δd +2.5cm/t
1772535780.416,179.2,0,0,200.0,200.0,1,-10.21,90.0,1.8,93.6,86.4,11.13,5.76,24.0,🐍 SLALOM d=179cm L:200 R:200
1772535780.479,176.5,0,0,200.0,200.0,1,-10.77,90.0,3.1,95.3,84.7,11.16,5.77,24.0,🐍 SLALOM d=176cm L:200 R:200
1772535780.542,174.0,0,0,200.0,200.0,1,-10.77,90.0,4.1,96.4,83.6,11.16,5.77,24.0,🐍 SLALOM d=174cm L:200 R:200
1772535780.605,171.6,0,0,200.0,200.0,1,-10.77,90.0,4.8,97.3,82.7,11.16,5.77,24.0,🐍 SLALOM d=172cm L:200 R:200
1772535780.667,168.7,0,0,200.0,200.0,1,-11.41,90.0,5.4,98.1,81.9,11.14,5.77,231.0,🐍 SLALOM d=169cm L:200 R:200
1772535780.729,166.6,0,0,200.0,200.0,1,-11.41,90.0,5.8,98.5,81.5,11.14,5.77,231.0,🐍 SLALOM d=167cm L:200 R:200
1772535780.792,163.7,0,0,200.0,200.0,1,-1.15,90.0,6.1,97.4,82.6,11.17,5.77,231.0,🐍 SLALOM d=164cm L:200 R:200
1772535780.854,161.6,0,0,200.0,200.0,1,-1.15,90.0,6.3,97.6,82.4,11.17,5.77,231.0,🐍 SLALOM d=162cm L:200 R:200
1772535780.914,127.6,0,0,200.0,200.0,1,-1.15,86.4,8.9,97.0,75.8,11.17,5.77,231.0,🐍 SLALOM d=128cm L:200 R:200
1772535780.976,156.3,0,0,200.0,200.0,1,-11.18,87.5,7.9,98.5,76.5,11.19,5.76,231.0,🐍 SLALOM d=156cm L:200 R:200
1772535781.037,154.2,0,0,200.0,200.0,1,-11.18,88.2,7.2,98.4,78.1,11.19,5.76,231.0,🐍 SLALOM d=154cm L:200 R:200
1772535781.099,150.9,0,0,200.0,200.0,1,-10.42,88.8,6.6,98.2,79.4,11.18,5.77,231.0,🐍 SLALOM d=151cm L:200 R:200
1772535781.160,148.9,0,0,200.0,200.0,1,-10.42,88.8,6.3,97.8,79.9,11.18,5.77,231.0,🐍 SLALOM d=149cm L:200 R:200
1772535781.221,147.3,0,0,200.0,200.0,1,-10.42,88.6,6.1,97.3,79.9,11.18,5.77,231.0,🐍 SLALOM d=147cm L:200 R:200
1772535781.282,144.0,0,0,200.0,200.0,1,-10.29,88.1,6.4,97.3,79.0,11.22,5.77,231.0,🐍 SLALOM d=144cm L:200 R:200
1772535781.343,141.6,0,0,200.0,200.0,1,-10.29,87.2,6.8,96.8,77.6,11.22,5.77,231.0,🐍 SLALOM d=142cm L:200 R:200
1772535781.404,138.8,0,0,200.0,200.0,1,-3.83,86.2,7.2,95.3,77.1,11.23,5.77,231.0,🐍 SLALOM d=139cm L:200 R:200
1772535781.460,62.6,0,0,200.0,200.0,1,-3.83,80.6,21.1,100.0,57.1,11.23,5.77,231.0,🔥 CARVE d=63cm L:200 R:200
1772535781.521,136.0,0,0,200.0,200.0,1,-3.83,81.0,23.8,100.0,47.8,11.23,5.77,231.0,🔥 CARVE d=136cm L:200 R:200
1772535781.581,132.1,0,0,200.0,200.0,1,-6.12,81.0,25.0,100.0,45.4,11.32,5.77,231.0,🔥 CARVE d=132cm L:200 R:200
1772535781.641,130.0,0,0,200.0,200.0,1,-6.12,80.7,25.6,100.0,44.4,11.32,5.77,231.0,🔥 CARVE d=130cm L:200 R:200
1772535781.701,128.0,0,0,200.0,200.0,1,-6.12,79.9,25.8,100.0,43.6,11.32,5.77,231.0,🔥 CARVE d=128cm L:200 R:200
1772535781.761,126.0,0,0,200.0,200.0,1,-36.23,79.0,25.9,100.0,37.4,11.40,5.77,255.0,🔥 CARVE d=126cm L:200 R:200
1772535781.821,124.0,0,0,200.0,200.0,1,-36.23,78.4,26.0,100.0,37.0,11.40,5.77,255.0,🔥 CARVE d=124cm L:200 R:200
1772535781.881,122.2,0,0,200.0,200.0,1,-18.02,77.7,21.5,100.0,47.0,11.38,5.77,255.0,🐍 SLALOM d=122cm L:200 R:200
1772535781.941,120.9,0,0,200.0,200.0,1,-18.02,76.9,18.1,100.0,52.2,11.38,5.77,255.0,🐍 SLALOM d=121cm L:200 R:200
1772535782.000,119.2,0,0,200.0,200.0,1,-18.02,76.0,15.7,97.2,54.8,11.38,5.77,255.0,🐍 SLALOM d=119cm L:200 R:200
1772535782.060,117.9,0,0,200.0,200.0,1,-28.68,75.1,13.9,95.8,54.4,11.34,5.77,255.0,🐍 SLALOM d=118cm L:200 R:200
1772535782.116,66.5,0,0,200.0,200.0,1,-28.68,67.0,14.5,88.4,45.5,11.34,5.77,255.0,🐍 SLALOM d=66cm L:200 R:200
1772535782.175,114.6,0,0,200.0,200.0,1,-26.15,68.5,13.1,87.9,49.1,11.33,5.76,255.0,🐍 SLALOM d=115cm L:200 R:200
1772535782.235,113.7,0,0,200.0,200.0,1,-26.15,69.2,12.1,87.4,51.1,11.33,5.76,255.0,🐍 SLALOM d=114cm L:200 R:200
1772535782.294,111.1,0,0,200.0,200.0,1,-26.15,69.5,11.3,86.8,52.2,11.33,5.76,255.0,🐍 SLALOM d=111cm L:200 R:200
1772535782.353,109.7,0,0,200.0,200.0,1,-9.19,69.3,10.8,83.5,55.2,11.36,5.77,255.0,🐍 SLALOM d=110cm L:200 R:200
1772535782.412,107.4,0,0,200.0,200.0,1,-9.19,68.9,10.5,82.7,55.2,11.36,5.77,255.0,🐍 SLALOM d=107cm L:200 R:200
1772535782.471,106.1,0,0,200.0,200.0,1,-9.19,68.7,10.3,82.2,55.1,11.36,5.77,255.0,🐍 SLALOM d=106cm L:200 R:200
1772535782.529,103.6,0,0,200.0,200.0,1,-0.84,67.9,10.2,80.0,55.7,11.30,5.76,255.0,🐍 SLALOM d=104cm L:200 R:200
1772535782.588,102.0,0,0,200.0,200.0,1,-0.84,67.3,10.2,79.4,55.2,11.30,5.76,255.0,🐍 SLALOM d=102cm L:200 R:200
