timestamp,dt_ms,laser_front_cm,sonar_front_cm,ir_left,ir_right,accel_x,accel_y,accel_z,accel_mag,gyro_z,rpm,battery_v,current_a,vision_mode,target_name,target_found,target_bbox_area,vision_steer_pull,avoid_state,raw_throttle,raw_steering,smooth_throttle,smooth_steering,motor_L,motor_R,sweep_active,sweep_esc_angle,sweep_esc_dist,rover_heading,target_bearing,laser_healthy,touch_x,touch_y,touch_conf,status_msg
1772462234.7614765,,100,79.9,False,False,-0.008,-0.026,1.034,1.035,0.78,0.0,11.87,5.81,,,,,,,,,,,,,,,,,,,,,,
1772462235.0246544,,100,86.3,False,False,0.012,0.028,0.948,0.949,0.04,0.0,11.89,5.82,,,,,,,,,,,,,,,,,,,,,,
1772462235.318082,,100,32.0,False,False,-0.012,0.012,1.11,1.111,-1.04,0.0,11.88,5.8,,,,,,,,,,,,,,,,,,,,,,
1772462235.5937264,,100,98.5,False,False,-0.017,-0.02,1.019,1.02,0.76,0.0,11.9,5.81,,,,,,,,,,,,,,,,,,,,,,
1772462235.8554406,,100,112.1,False,False,-0.033,-0.026,1.072,1.073,0.71,0.0,11.87,5.82,,,,,,,,,,,,,,,,,,,,,,
1772462236.1357212,,100,117.8,False,False,-0.01,0.012,0.991,0.992,-0.14,0.0,11.87,5.81,,,,,,,,,,,,,,,,,,,,,,
1772462236.4146132,,100,103.3,False,False,0.021,0.016,0.976,0.977,0.4,0.0,11.87,5.82,,,,,,,,,,,,,,,,,,,,,,
1772462236.6756902,,100,16.5,False,False,0.0,0.004,1.046,1.046,-0.76,0.0,11.86,5.81,,,,,,,,,,,,,,,,,,,,,,
1772462236.953232,,100,168.2,False,False,-0.018,-0.015,1.056,1.057,0.93,0.0,11.82,5.82,,,,,,,,,,,,,,,,,,,,,,
1772462237.2212777,,100,106.4,False,False,0.025,0.007,0.892,0.893,-0.6,0.0,11.89,5.81,,,,,,,,,,,,,,,,,,,,,,
1772462237.4798732,,100,81.6,False,False,-0.05,0.028,1.184,1.186,-0.91,0.0,11.88,5.8,,,,,,,,,,,,,,,,,,,,,,
1772462237.751682,,100,159.8,False,False,-0.036,-0.024,1.074,1.075,0.77,0.0,11.89,5.81,,,,,,,,,,,,,,,,,,,,,,
1772462238.0335727,,100,233.3,False,False,0.02,-0.032,0.924,0.925,0.73,0.0,11.89,5.81,,,,,,,,,,,,,,,,,,,,,,
1772462238.2978735,,100,40.8,False,False,0.04,0.007,0.878,0.879,0.33,0.0,11.84,5.83,,,,,,,,,,,,,,,,,,,,,,
1772462238.5682082,,100,96.8,False,False,0.003,-0.013,0.988,0.989,0.69,0.0,11.87,5.82,,,,,,,,,,,,,,,,,,,,,,
1772462238.8905509,,100,999,False,False,-0.022,0.015,1.032,1.033,-0.56,0.0,11.87,5.82,,,,,,,,,,,,,,,,,,,,,,
1772462239.1514273,,100,78.6,False,False,0.01,-0.002,1.055,1.056,-1.22,0.0,11.85,5.82,,,,,,,,,,,,,,,,,,,,,,
