elapsed_s,tick,event,wp_idx,wp_total,wp_target_x,wp_target_y,pos_x,pos_y,heading_deg,v_linear,v_angular,dist_to_wp,desired_hdg,hdg_error,steer_deg,steer_pw,cmd_speed,rpm_l,rpm_r,enc_l,enc_r,duty_l,duty_r,gyro_z,accel_x,accel_y,mag_x,mag_y,compass_deg,laser_mm,temp_c,batt_adc,stuck_count,moved_cm,note
0.010,7,NAV,6,18,0.3671,-0.4434,-0.1350,-0.9343,-60.0,-0.0000,0.0009,0.7022,44.4,104.4,35.0,2150,40,0.0,0.0,18190,1,0.0,0.0,0.08,0.000,0.008,-0,0,300.0,-1,21.4,963.9,0,0.00,applied=0 spinning=False
0.069,8,NAV,6,18,0.3671,-0.4434,-0.1350,-0.9343,-60.0,-0.0000,0.0008,0.7022,44.4,104.4,35.0,2150,40,0.0,0.0,18190,1,0.0,0.0,0.08,0.000,0.008,-0,0,300.0,-1,21.4,963.9,0,0.00,applied=45 spinning=False
0.131,9,NAV,6,18,0.3671,-0.4434,-0.1350,-0.9343,-61.2,0.0000,-0.0007,0.7022,44.4,105.6,35.0,2150,40,0.0,0.0,18190,1,0.0,0.0,0.24,0.000,0.003,-0,0,298.7,-1,21.6,962.4,0,0.00,applied=50 spinning=False
0.182,10,NAV,6,18,0.3671,-0.4434,-0.1350,-0.9343,-61.3,0.0000,0.0023,0.7022,44.4,105.6,35.0,2150,40,0.0,0.0,18190,1,0.0,0.0,0.24,0.000,0.003,-0,0,298.7,-1,21.6,962.4,0,0.00,applied=55 spinning=False
0.241,11,NAV,6,18,0.3671,-0.4434,-0.1350,-0.9343,-60.9,0.0000,0.0041,0.7022,44.4,105.3,35.0,2150,40,0.0,0.0,18190,1,3.0,3.0,0.32,0.117,0.016,-0,0,299.1,-1,21.0,912.1,0,0.00,applied=60 spinning=False
0.577,17,NAV,6,18,0.3671,-0.4434,-0.1350,-0.9343,-60.2,-0.0000,0.0056,0.7022,44.4,104.6,35.0,2150,40,0.0,0.0,18191,1,15.0,15.0,0.56,0.002,-0.031,-0,0,299.8,-1,21.0,959.0,0,0.00,applied=90 spinning=False
1.169,27,NAV,6,18,0.3671,-0.4434,-0.1349,-0.9345,-60.0,0.0001,0.0076,0.7023,44.4,104.4,35.0,2150,40,0.0,0.0,18191,1,45.0,45.0,0.02,0.000,0.000,-0,0,300.1,-1,21.4,944.9,0,0.00,applied=90 spinning=False
1.754,37,NAV,6,18,0.3671,-0.4434,-0.1226,-0.9508,-46.7,0.1024,0.5108,0.7051,46.0,92.8,35.0,2150,40,52.9,0.0,18339,1,66.0,66.0,39.16,0.254,0.068,-0,0,313.2,-1,21.6,931.5,0,0.00,applied=72 spinning=True
2.058,42,WP_LOOKAHEAD_SKIP,6,18,0.3671,-0.4434,-0.0815,-0.9783,-17.6,0.2482,1.1403,0.6981,0.0,0.0,0.0,1440,0,135.0,0.0,18619,1,66.0,66.0,81.17,-0.195,0.004,-0,0,342.8,-1,21.0,941.8,0,0.00,nav_skip_6_to_8
2.058,42,WP_START,9,18,0.0236,-0.5553,-0.0815,-0.9783,-17.6,0.2482,1.1403,0.4358,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,arrive_tol=0.200 final=False
2.058,43,NAV,9,18,0.0236,-0.5553,-0.0815,-0.9783,-17.6,0.2482,1.1403,0.4358,76.0,93.6,35.0,2150,40,135.0,0.0,18619,1,66.0,66.0,81.17,-0.195,0.004,-0,0,342.8,-1,21.0,941.8,0,0.00,applied=57 spinning=True
2.118,44,NAV,9,18,0.0236,-0.5553,-0.0635,-0.9842,-17.1,0.2636,1.1168,0.4377,78.5,95.6,35.0,2150,40,135.0,0.0,18619,1,66.0,66.0,81.17,-0.195,0.004,-0,0,342.8,-1,21.0,941.8,0,0.00,applied=54 spinning=True
2.179,45,NAV,9,18,0.0236,-0.5553,-0.0529,-0.9868,-5.3,0.2946,1.2494,0.4382,79.9,85.3,35.0,2150,40,156.8,0.0,18754,1,60.0,60.0,86.75,0.032,0.063,-0,0,355.1,-1,21.0,944.4,0,0.00,applied=51 spinning=True
2.238,46,NAV,9,18,0.0236,-0.5553,-0.0308,-0.9892,-4.8,0.3067,1.2221,0.4372,82.8,87.6,35.0,2150,40,156.8,0.0,18754,1,60.0,60.0,86.75,0.032,0.063,-0,0,355.1,-1,21.0,944.4,0,0.00,applied=48 spinning=True
2.297,47,NAV,9,18,0.0236,-0.5553,-0.0185,-0.9896,5.7,0.3296,1.3535,0.4363,84.5,78.8,35.0,2150,40,172.9,0.0,18895,1,54.0,54.0,93.80,0.010,0.000,0,0,6.0,426,21.0,944.2,0,0.00,applied=45 spinning=True
2.631,53,NAV,9,18,0.0236,-0.5553,0.0816,-0.9644,31.7,0.3673,1.3841,0.4131,98.1,66.4,35.0,2150,40,187.6,0.0,19178,1,42.0,42.0,95.79,0.000,0.012,0,0,31.6,602,21.0,957.0,0,0.00,applied=40 spinning=True
3.227,63,WP_LOOKAHEAD_SKIP,9,18,0.0236,-0.5553,0.1672,-0.7994,105.4,0.3321,1.2177,0.2831,0.0,0.0,0.0,1440,0,165.0,0.0,19767,1,40.0,40.0,81.13,-0.120,0.062,0,-0,105.9,-1,21.2,960.5,0,0.00,nav_skip_9_to_13
3.228,63,WP_START,14,18,0.4354,-0.6368,0.1672,-0.7994,105.4,0.3321,1.2177,0.3137,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,arrive_tol=0.200 final=False
3.228,64,NAV,14,18,0.4354,-0.6368,0.1672,-0.7994,105.4,0.3321,1.2177,0.3137,31.2,-74.2,-35.0,940,40,165.0,0.0,19767,1,40.0,40.0,81.13,-0.120,0.062,0,-0,105.9,-1,21.2,960.5,0,0.00,applied=50 spinning=True
3.290,65,NAV,14,18,0.4354,-0.6368,0.1608,-0.7765,105.9,0.3247,0.4282,0.3081,27.0,-78.9,-35.0,940,40,165.0,0.0,19767,1,40.0,40.0,81.13,-0.120,0.062,0,-0,105.9,-1,21.2,960.5,0,0.00,applied=47 spinning=True
3.357,66,NAV,14,18,0.4354,-0.6368,0.1562,-0.7623,113.5,0.3199,0.4348,0.3062,24.2,-89.3,-35.0,940,40,161.9,0.0,19886,1,46.0,46.0,78.79,0.003,0.040,0,-0,113.8,-1,21.0,962.5,0,0.00,applied=44 spinning=True
3.407,67,NAV,14,18,0.4354,-0.6368,0.1515,-0.7514,113.8,0.3185,0.4129,0.3062,22.0,-91.9,-35.0,940,40,161.9,0.0,19886,1,46.0,46.0,78.79,0.003,0.040,0,-0,113.8,-1,21.0,962.5,0,0.00,applied=41 spinning=True
