timestamp,dt_ms,laser_front_cm,sonar_front_cm,ir_left,ir_right,accel_x,accel_y,accel_z,accel_mag,gyro_z,rpm,battery_v,current_a,vision_mode,target_name,target_found,target_bbox_area,vision_steer_pull,avoid_state,raw_throttle,raw_steering,smooth_throttle,smooth_steering,motor_L,motor_R,sweep_active,sweep_esc_angle,sweep_esc_dist,rover_heading,target_bearing,laser_healthy,touch_x,touch_y,touch_conf,status_msg
1772473831.0233192,,100,141.0,False,False,-0.027,-0.006,1.129,1.129,-1.57,0.0,11.9,5.79,,,,,,,,,,,,,,,,,,,,,,
1772473831.2830482,,100,108.4,False,False,0.015,0.026,0.968,0.968,1.21,0.0,11.9,5.8,,,,,,,,,,,,,,,,,,,,,,
1772473831.5515218,,100,111.1,False,False,-0.012,-0.041,1.01,1.011,1.31,0.0,11.89,5.79,,,,,,,,,,,,,,,,,,,,,,
1772473831.821321,,100,108.5,False,False,-0.003,-0.026,1.001,1.001,0.56,0.0,11.89,5.79,,,,,,,,,,,,,,,,,,,,,,
1772473832.0809183,,100,108.4,False,False,-0.015,0.006,1.097,1.097,-1.4,0.0,11.9,5.8,,,,,,,,,,,,,,,,,,,,,,
1772473832.3488138,,100,108.4,False,False,0.042,0.024,0.906,0.907,1.26,0.0,11.9,5.79,,,,,,,,,,,,,,,,,,,,,,
1772473832.617252,,100,108.4,False,False,-0.073,-0.029,1.12,1.122,1.35,0.0,11.9,5.79,,,,,,,,,,,,,,,,,,,,,,
1772473832.8768623,,100,108.4,False,False,-0.029,0.013,1.127,1.127,-1.37,0.0,11.9,5.8,,,,,,,,,,,,,,,,,,,,,,
1772473833.1475437,,100,108.4,False,False,-0.003,0.037,0.985,0.985,0.05,0.0,11.9,5.79,,,,,,,,,,,,,,,,,,,,,,
1772473841.8400545,,100,108.4,False,False,0.026,0.037,0.967,0.968,0.7,0.0,11.9,5.79,,,,,,,,,,,,,,,,,,,,,,
1772473842.1022937,,100,112.7,False,False,-0.013,-0.019,1.027,1.027,0.48,0.0,11.9,5.8,,,,,,,,,,,,,,,,,,,,,,
