timestamp,elapsed_s,source,laser_front_mm,sonar_front_cm,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c,battery_mv,current_mv,rpm_rear_left,rpm_rear_right,cmd_pwm,applied_pwm,target_rpm,actual_rpm,gear,throttle_input,steering_input,is_braking,is_forward,sync_status,compass_heading,pid_correction
1774704892.2735,0.0484,debug,-1,,0.274,0.001,-0.992,0.55,-0.49,0.12,21.6,2317.9,579.9,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,OFF,117.5,0.0
1774704892.3192,0.094,debug,-1,,0.274,0.001,-0.992,0.55,-0.49,0.12,21.6,2317.9,579.9,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,OFF,117.5,0.0
1774704892.3483,0.1232,debug,-1,,0.274,0.001,-0.992,0.55,-0.49,0.12,21.6,2317.9,579.9,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,OFF,117.5,0.0
1774704892.392,0.1668,debug,-1,,0.274,0.001,-0.992,0.55,-0.49,0.12,21.6,2317.9,579.9,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,OFF,117.5,0.0
1774704892.4369,0.2117,debug,-1,,0.274,0.001,-0.992,0.55,-0.49,0.12,21.6,2317.9,579.9,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,OFF,117.5,0.0
1774704892.4841,0.259,debug,426,,0.269,0.0,-1.0,0.75,0.12,0.0,21.0,2317.4,579.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,OFF,117.2,0.0
1774704892.5193,0.2941,debug,426,,0.269,0.0,-1.0,0.75,0.12,0.0,21.0,2317.4,579.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,OFF,117.2,0.0
1774704892.5799,0.3547,debug,426,,0.269,0.0,-1.0,0.75,0.12,0.0,21.0,2317.4,579.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,OFF,117.2,0.0
1774704892.6209,0.3957,debug,426,,0.269,0.0,-1.0,0.75,0.12,0.0,21.0,2317.4,579.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,OFF,117.2,0.0
1774704892.6732,0.4481,debug,426,,0.269,0.0,-1.0,0.75,0.12,0.0,21.0,2317.4,579.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,OFF,117.2,0.0
1774704892.6985,0.4734,debug,371,,0.258,0.001,-1.0,0.24,0.98,0.06,21.0,2317.4,579.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,OFF,116.0,0.0
1774704892.7224,0.4972,debug,361,,0.254,0.0,-1.904,0.03,0.63,0.02,21.6,2317.9,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,OFF,116.9,0.0
1774704892.7931,0.568,debug,361,,0.254,0.0,-1.904,0.03,0.63,0.02,21.6,2317.9,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,OFF,116.9,0.0
1774704892.8586,0.6334,debug,361,,0.254,0.0,-1.904,0.03,0.63,0.02,21.6,2317.9,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,116.9,0.0
1774704892.8864,0.6613,debug,361,,0.254,0.0,-1.904,0.03,0.63,0.02,21.6,2317.9,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,116.9,0.0
1774704892.9167,0.6915,debug,-1,,0.262,0.008,-0.993,0.02,1.2,0.17,21.0,2319.4,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,116.4,0.0
1774704892.9413,0.7161,debug,-1,,0.262,0.008,-0.993,0.02,1.2,0.17,21.0,2319.4,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,116.4,0.0
1774704892.9644,0.7392,debug,-1,,0.258,0.007,-0.987,0.07,0.49,0.0,21.7,2317.0,579.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,115.9,0.0
1774704892.9873,0.7621,debug,-1,,0.258,0.007,-0.987,0.07,0.49,0.0,21.7,2317.0,579.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,115.9,0.0
1774704893.0156,0.7905,debug,-1,,0.258,0.007,-0.987,0.07,0.49,0.0,21.7,2317.0,579.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,115.9,0.0
1774704893.0469,0.8217,debug,-1,,0.258,0.007,-0.987,0.07,0.49,0.0,21.7,2317.0,579.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,115.9,0.0
1774704893.0689,0.8438,debug,-1,,0.258,0.007,-0.987,0.07,0.49,0.0,21.7,2317.0,579.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,115.9,0.0
1774704893.1022,0.877,debug,-1,,0.258,0.007,-0.987,0.07,0.49,0.0,21.7,2317.0,579.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,115.9,0.0
1774704893.1309,0.9057,debug,-1,,0.258,0.007,-0.987,0.07,0.49,0.0,21.7,2317.0,579.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,115.9,0.0
1774704893.1537,0.9286,debug,324,,0.261,0.0,-1.0,0.25,0.24,0.37,21.0,2317.8,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,116.8,0.0
1774704893.1761,0.9509,debug,324,,0.261,0.0,-1.0,0.25,0.24,0.37,21.0,2317.8,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,116.8,0.0
1774704893.199,0.9739,debug,324,,0.261,0.0,-1.0,0.25,0.24,0.37,21.0,2317.8,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,116.8,0.0
1774704893.2236,0.9984,debug,324,,0.261,0.0,-1.0,0.25,0.24,0.37,21.0,2317.8,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,116.8,0.0
1774704893.2464,1.0213,debug,324,,0.261,0.0,-1.0,0.25,0.24,0.37,21.0,2317.8,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,116.8,0.0
1774704893.2701,1.0449,debug,324,,0.261,0.0,-1.0,0.25,0.24,0.37,21.0,2317.8,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,116.8,0.0
1774704893.2938,1.0686,debug,313,,0.266,0.0,-0.998,0.24,0.08,0.12,21.0,2317.9,579.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,117.3,0.0
1774704893.3183,1.0931,debug,313,,0.266,0.0,-0.998,0.24,0.08,0.12,21.0,2317.9,579.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,117.3,0.0
1774704893.3413,1.1162,debug,313,,0.266,0.0,-0.998,0.24,0.08,0.12,21.0,2317.9,579.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,117.3,0.0
1774704893.3643,1.1392,debug,313,,0.266,0.0,-0.998,0.24,0.08,0.12,21.0,2317.9,579.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,117.3,0.0
1774704893.3865,1.1613,debug,313,,0.266,0.0,-0.998,0.24,0.08,0.12,21.0,2317.9,579.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,117.3,0.0
1774704893.4085,1.1833,debug,313,,0.266,0.0,-0.998,0.24,0.08,0.12,21.0,2317.9,579.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,117.3,0.0
1774704893.434,1.2088,debug,313,,0.266,0.0,-0.998,0.24,0.08,0.12,21.0,2317.9,579.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,117.3,0.0
1774704893.4599,1.2347,debug,-1,,0.25,0.0,-0.981,0.26,0.0,0.13,21.8,2318.2,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,116.8,0.0
1774704893.4823,1.2572,debug,-1,,0.25,0.0,-0.981,0.26,0.0,0.13,21.8,2318.2,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,116.8,0.0
1774704893.5067,1.2816,debug,-1,,0.25,0.0,-0.981,0.26,0.0,0.13,21.8,2318.2,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,116.8,0.0
1774704893.5288,1.3036,debug,-1,,0.25,0.0,-0.981,0.26,0.0,0.13,21.8,2318.2,579.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,ACTIVE,116.8,0.0
