timestamp,dt_ms,laser_front_cm,sonar_front_cm,ir_left,ir_right,accel_x,accel_y,accel_z,accel_mag,gyro_z,rpm,battery_v,current_a,vision_mode,target_name,target_found,target_bbox_area,vision_steer_pull,avoid_state,raw_throttle,raw_steering,smooth_throttle,smooth_steering,motor_L,motor_R,sweep_active,sweep_esc_angle,sweep_esc_dist,rover_heading,target_bearing,laser_healthy,touch_x,touch_y,touch_conf,status_msg
1772462941.7474916,,100,71.7,False,False,0.024,-0.023,0.924,0.925,0.29,0.0,11.88,5.8,,,,,,,,,,,,,,,,,,,,,,
1772462942.012375,,100,194.3,False,False,-0.005,0.009,1.057,1.057,-0.32,0.0,11.89,5.8,,,,,,,,,,,,,,,,,,,,,,
1772462942.2834532,,100,77.6,False,False,-0.035,-0.042,1.066,1.068,1.03,0.0,11.89,5.8,,,,,,,,,,,,,,,,,,,,,,
1772462942.5589747,,100,66.9,False,False,-0.035,-0.019,1.111,1.112,-0.92,0.0,11.88,5.8,,,,,,,,,,,,,,,,,,,,,,
1772462942.8279157,,100,268.9,False,False,0.013,0.031,0.972,0.973,0.61,0.0,11.78,5.83,,,,,,,,,,,,,,,,,,,,,,
1772462943.1039987,,194.7,268.9,False,False,0.032,0.007,0.925,0.926,0.44,0.0,11.89,5.8,,,,,,,,,,,,,,,,,,,,,,
1772462943.3684518,,194.7,72.7,False,False,0.011,-0.02,0.928,0.928,-0.33,0.0,11.89,5.8,,,,,,,,,,,,,,,,,,,,,,
1772462943.6372993,,194.7,268.0,False,False,0.02,-0.027,0.923,0.924,0.17,0.0,11.87,5.8,,,,,,,,,,,,,,,,,,,,,,
1772462943.9019358,,194.7,76.9,False,False,0.009,-0.029,0.962,0.963,0.36,0.0,11.9,5.79,,,,,,,,,,,,,,,,,,,,,,
1772462944.1789556,,194.7,49.5,False,False,-0.019,0.021,1.077,1.078,-0.15,0.0,11.82,5.83,,,,,,,,,,,,,,,,,,,,,,
1772462944.4367309,,194.7,50.5,False,False,-0.008,0.015,0.998,0.998,0.28,0.0,11.87,5.8,,,,,,,,,,,,,,,,,,,,,,
1772462944.7006755,,194.7,78.7,False,False,0.011,0.022,0.963,0.963,-0.3,0.0,11.88,5.8,,,,,,,,,,,,,,,,,,,,,,
1772462944.966832,,194.7,77.3,False,False,0.009,-0.019,0.93,0.93,0.04,0.0,11.87,5.81,,,,,,,,,,,,,,,,,,,,,,
1772462945.2258687,,194.7,80.2,False,False,0.008,-0.03,0.982,0.983,-0.24,0.0,11.88,5.8,,,,,,,,,,,,,,,,,,,,,,
1772462945.4921243,,194.7,78.7,False,False,-0.009,0.0,1.064,1.064,-1.34,0.0,11.86,5.81,,,,,,,,,,,,,,,,,,,,,,
1772462945.7585316,,194.7,78.9,False,False,0.003,0.017,0.994,0.994,-0.18,0.0,11.82,5.81,,,,,,,,,,,,,,,,,,,,,,
1772462946.0164163,,194.7,78.8,False,False,0.034,-0.029,0.898,0.899,-0.37,0.0,11.87,5.8,,,,,,,,,,,,,,,,,,,,,,
1772462946.2808626,,194.7,77.2,False,False,0.011,-0.045,1.055,1.056,0.57,0.0,11.89,5.8,,,,,,,,,,,,,,,,,,,,,,
1772462946.5467541,,194.7,78.1,False,False,-0.001,0.005,1.123,1.123,-1.43,0.0,11.89,5.79,,,,,,,,,,,,,,,,,,,,,,
