timestamp,elapsed_s,source,laser_front_mm,sonar_front_cm,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c,battery_mv,current_mv,rpm_rear_left,rpm_rear_right,rpm_front_right,cmd_pwm_left,cmd_pwm_right,applied_pwm_fl,applied_pwm_fr,applied_pwm_rl,applied_pwm_rr,gear,throttle_input,steering_input,is_braking,is_forward,sync_status,target_rpm_left,target_rpm_right
1773043133.0287,0.0153,gamepad_hot_start,-1,100,-0.498,-0.065,1.014,0.79,0.84,0.72,36.3,2210.1,576.6,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
1773043133.0503,0.0369,gamepad_hot_start,-1,100,-0.498,-0.065,1.014,0.79,0.84,0.72,36.3,2210.1,576.6,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
1773043133.0757,0.0623,gamepad_hot_start,-1,100,-0.501,-0.063,1.003,0.21,0.99,0.79,36.4,2217.6,575.5,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
1773043133.0968,0.0834,gamepad_hot_start,-1,100,-0.501,-0.063,1.003,0.21,0.99,0.79,36.4,2217.6,575.5,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
1773043133.1204,0.107,gamepad_hot_start,-1,100,-0.501,-0.063,1.003,0.21,0.99,0.79,36.4,2217.6,575.5,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
1773043133.1555,0.1421,gamepad_hot_start,-1,100,-0.501,-0.063,1.003,0.21,0.99,0.79,36.4,2217.6,575.5,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
1773043133.1856,0.1722,gamepad_hot_start,-1,100,-0.501,-0.063,1.003,0.21,0.99,0.79,36.4,2217.6,575.5,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
1773043133.2061,0.1927,gamepad_hot_start,-1,100,-0.497,-0.063,1.016,0.5,0.33,0.51,36.3,2218.4,575.2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
1773043133.2291,0.2157,gamepad_hot_start,-1,100,-0.497,-0.063,1.016,0.5,0.33,0.51,36.3,2218.4,575.2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
1773043133.2544,0.241,gamepad_hot_start,-1,100,-0.497,-0.063,1.016,0.5,0.33,0.51,36.3,2218.4,575.2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
1773043133.2748,0.2614,gamepad_hot_start,-1,100,-0.497,-0.063,1.016,0.5,0.33,0.51,36.3,2218.4,575.2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
1773043133.2971,0.2837,gamepad_hot_start,-1,100,-0.497,-0.063,1.016,0.5,0.33,0.51,36.3,2218.4,575.2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
1773043133.3189,0.3055,gamepad_hot_start,-1,100,-0.497,-0.063,1.016,0.5,0.33,0.51,36.3,2218.4,575.2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
1773043133.3403,0.3269,gamepad_hot_start,-1,100,-0.497,-0.063,1.016,0.5,0.33,0.51,36.3,2218.4,575.2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
1773043133.3615,0.3481,gamepad_hot_start,-1,100,-0.497,-0.063,1.016,0.5,0.33,0.51,36.3,2218.4,575.2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,False,True,IDLE,0,0
