timestamp,dt_ms,laser_front_cm,sonar_front_cm,ir_left,ir_right,accel_x,accel_y,accel_z,accel_mag,gyro_z,rpm,battery_v,current_a,vision_mode,target_name,target_found,target_bbox_area,vision_steer_pull,avoid_state,raw_throttle,raw_steering,smooth_throttle,smooth_steering,motor_L,motor_R,sweep_active,sweep_esc_angle,sweep_esc_dist,rover_heading,target_bearing,laser_healthy,touch_x,touch_y,touch_conf,status_msg
1772534586.7954328,,100,999,True,True,-0.017,-0.001,1.032,1.032,-0.48,0.0,12.06,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534587.0954967,,100,999,True,True,0.011,0.012,0.969,0.969,0.51,0.0,12.06,5.75,,,,,,,,,,,,,,,,,,,,,,
1772534587.4439094,,100,999,True,True,0.04,0.002,0.936,0.937,-0.04,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534587.7921996,,100,999,True,True,-0.022,-0.006,1.02,1.02,-0.18,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534588.0923061,,100,999,True,True,-0.004,-0.004,1.002,1.002,0.43,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534588.440491,,100,999,True,True,0.014,0.0,0.981,0.981,-0.57,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534588.7886612,,100,999,True,True,-0.04,-0.011,1.044,1.045,0.41,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534589.0882745,,100,999,True,True,0.025,0.015,0.95,0.951,-0.59,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534589.4367836,,100,999,True,True,-0.024,-0.004,1.031,1.031,-0.17,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534589.784884,,100,999,True,True,0.034,0.01,0.943,0.944,-0.23,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534590.0877955,,100,999,True,True,-0.014,-0.002,1.035,1.035,-0.52,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534590.435954,,100,999,True,True,0.043,0.006,0.935,0.936,-0.44,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534590.784068,,100,999,True,True,0.011,0.014,0.967,0.967,0.64,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534591.0837004,,100,999,True,True,-0.027,0.001,1.031,1.032,0.75,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534591.431864,,100,999,True,True,-0.017,-0.003,1.007,1.007,-0.37,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534591.7801857,,100,999,True,True,-0.008,-0.008,0.994,0.994,-0.44,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534592.080384,,100,999,True,True,0.013,0.005,0.969,0.969,0.48,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534592.4293392,,100,999,True,True,0.005,0.011,0.98,0.98,0.46,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534592.777851,,100,999,True,True,0.029,0.012,0.956,0.957,-0.46,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534593.0774772,,100,999,True,True,0.012,0.009,0.967,0.967,-0.55,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534593.4257152,,100,999,True,True,0.022,0.012,0.952,0.953,-0.54,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534593.7741747,,100,999,True,True,-0.024,-0.005,1.039,1.039,0.29,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534594.0741367,,100,999,True,True,0.011,0.003,0.992,0.992,-0.48,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534594.4223669,,100,999,True,True,-0.028,0.002,1.051,1.052,0.33,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534594.7705894,,100,999,True,True,0.048,0.002,0.926,0.927,-0.27,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534595.071172,,100,999,True,True,-0.004,0.013,1.005,1.005,0.56,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534595.4195514,,100,999,True,True,0.033,0.011,0.933,0.934,-0.58,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534595.7678163,,100,999,True,True,-0.05,-0.015,1.091,1.092,0.37,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534596.067268,,100,999,True,True,0.023,0.0,0.962,0.962,-0.74,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534596.4153883,,100,999,True,True,-0.029,0.0,1.045,1.046,0.58,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534596.764256,,100,999,True,True,0.022,0.009,0.958,0.958,-0.56,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534597.0645552,,100,999,True,True,-0.012,0.004,1.02,1.02,0.43,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534597.4129782,,100,999,True,True,0.025,0.0,0.963,0.964,-0.62,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534597.7618284,,139.0,999,True,True,0.02,0.007,0.961,0.961,0.49,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534598.061552,,139.0,999,True,True,-0.034,-0.01,1.043,1.044,0.38,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534598.4107947,,139.0,999,True,True,0.045,-0.003,0.931,0.932,-0.04,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534598.7593544,,139.0,999,True,True,-0.032,-0.011,1.034,1.035,0.08,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534599.059924,,139.0,999,True,True,-0.026,-0.004,1.018,1.019,-0.49,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534599.4083364,,139.0,999,True,True,0.005,0.009,0.988,0.988,0.27,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534599.7565417,,139.0,999,True,True,-0.034,-0.004,1.034,1.035,0.38,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534600.0618658,,139.0,999,True,True,0.028,0.013,0.947,0.948,-0.24,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534600.4107285,,139.0,999,True,True,-0.038,-0.011,1.071,1.072,0.35,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534600.759417,,139.0,999,True,True,0.025,0.007,0.965,0.966,0.33,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534601.0604613,,139.0,999,True,True,0.024,0.018,0.96,0.961,-0.2,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534601.4087,,139.0,999,True,True,0.033,0.001,0.95,0.951,0.13,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534601.757194,,126.2,999,True,True,-0.032,-0.011,1.06,1.061,-0.03,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534602.0572112,,126.2,999,True,True,-0.021,-0.006,1.026,1.026,0.24,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534602.4054358,,126.2,999,True,True,0.035,0.005,0.952,0.953,-0.54,0.0,12.08,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534602.7549276,,126.2,999,True,True,0.027,0.011,0.962,0.963,-0.01,0.0,12.07,5.76,,,,,,,,,,,,,,,,,,,,,,
1772534602.759912,,,,,,,,,,,,,,TOUCH_TRACKING,,,,,,,,,,,,,,,,,,0.701,0.221,,TOUCH TARGET ACQUIRED
1772534602.9264073,,126.2,999,1,1,,,,1.02,-0.0,,,,TOUCH_TRACKING,TOUCH TARGET,1,6400,7.5,IR_BOXED,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,0,-0.4,-0.4,1,,,1.0,>> HUNTING: TOUCH TARGET [100%] [IR-BOTH]
1772534602.9767828,,126.2,999,1,1,,,,1.02,0.6,,,,TOUCH_TRACKING,TOUCH TARGET,1,6400,7.5,IR_BOXED,0.0,1.5,0.0,1.5,1.5,-1.5,0,0,0,-0.4,4.1,1,,,1.0,>> HUNTING: TOUCH TARGET [100%] [IR-BOTH]
1772534603.0271134,,126.2,999,1,1,,,,0.98,0.2,,,,TOUCH_TRACKING,TOUCH TARGET,1,6400,7.5,IR_BOXED,0.0,1.5,0.0,1.5,1.5,-1.5,0,0,0,-0.3,4.2,1,,,1.0,>> HUNTING: TOUCH TARGET [100%] [IR-BOTH]
