timestamp,pico_timestamp_ms,frame,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,raw_field_norm,accel_norm
1774623241.866395,9863903,87707,0.185700000,0.071700000,0.192000000,0.061000000,-0.031000000,-1.904000000,0.000000000,0.320000000,0.030000000,0.276567135,1.905229120
1774623241.943595,9864010,87708,0.191700000,0.071700000,0.191000000,0.000000000,-0.034000000,-1.898000000,0.240000000,0.000000000,0.040000000,0.279947817,1.898304507
1774623242.050519,9864115,87709,0.191700000,0.077300000,0.193700000,0.006000000,-0.035000000,-1.891000000,0.270000000,0.580000000,0.150000000,0.283273490,1.891333392
1774623242.154871,9864222,87710,0.190000000,0.069000000,0.191000000,0.000000000,-0.030000000,-1.900000000,0.430000000,0.520000000,0.050000000,0.278104297,1.900236827
1774623242.260921,9864327,87711,0.190000000,0.075000000,0.195300000,0.000000000,-0.025000000,-1.905000000,0.040000000,0.240000000,0.010000000,0.282607661,1.905164035
1774623242.365579,9864432,87712,0.190000000,0.073300000,0.192700000,0.018000000,0.000000000,-1.873000000,0.020000000,0.060000000,0.000000000,0.280367937,1.873086490
1774623242.472787,9864539,87713,0.190000000,0.071700000,0.191000000,0.056000000,-0.031000000,-1.904000000,0.500000000,0.580000000,0.010000000,0.278786459,1.905075589
1774623242.579914,9864645,87714,0.187300000,0.073300000,0.191000000,0.004000000,-0.026000000,-1.905000000,0.050000000,0.570000000,0.020000000,0.277371916,1.905181619
1774623242.686804,9864751,87715,0.194000000,0.074000000,0.194300000,0.001000000,-0.039000000,-1.904000000,0.490000000,0.370000000,0.210000000,0.284366823,1.904399643
1774623242.791507,9864858,87716,0.194000000,0.074000000,0.191000000,0.004000000,0.000000000,-1.875000000,0.000000000,0.490000000,0.000000000,0.282122314,1.875004267
1774623242.898984,9864963,87717,0.190700000,0.075000000,0.188700000,0.006000000,-0.030000000,-1.875000000,0.040000000,0.760000000,0.310000000,0.278566294,1.875249583
1774623243.003214,9865070,87718,0.187300000,0.070700000,0.189300000,0.000000000,-0.039000000,-1.920000000,0.000000000,0.340000000,0.040000000,0.275525443,1.920396053
1774623243.109836,9865176,87719,0.190700000,0.074000000,0.188700000,0.021000000,-0.036000000,-1.874000000,0.490000000,0.060000000,0.020000000,0.278298724,1.874463390
1774623243.215716,9865282,87720,0.192300000,0.071700000,0.185700000,0.004000000,-0.037000000,-1.875000000,0.090000000,0.500000000,0.010000000,0.276775487,1.875369297
1774623243.320336,9865389,87721,0.191700000,0.072300000,0.194300000,0.000000000,-0.023000000,-1.906000000,0.270000000,0.250000000,0.070000000,0.282362657,1.906138767
1774623243.426803,9865494,87722,0.190000000,0.072300000,0.191000000,0.000000000,-0.038000000,-1.874000000,0.400000000,0.240000000,0.240000000,0.278941374,1.874385233
1774623243.533500,9865600,87723,0.192300000,0.075000000,0.191000000,0.000000000,-0.038000000,-1.896000000,0.020000000,0.730000000,0.370000000,0.281221070,1.896380763
