Timestamp,Sonar_Dist_cm,IR_Left,IR_Right,Laser_Left_cm,Laser_Right_cm,Laser_Active,Gyro_Z_degs,Target_Throttle,Target_Steering,Actual_PWM_L,Actual_PWM_R,Battery_V,Current_A,RPM,Status_Msg
1772089539.118,26.0,0,0,200.0,200.0,1,-1.54,21.6,27.3,20.0,10.8,9.29,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772089539.172,25.1,0,0,200.0,200.0,1,-1.54,36.7,38.2,40.0,8.6,9.29,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772089539.227,25.8,0,0,200.0,200.0,1,-2.82,47.3,42.6,60.0,3.4,9.17,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772089539.281,25.1,0,0,200.0,200.0,1,-2.82,54.7,44.3,80.0,1.8,9.17,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772089539.335,25.1,0,0,200.0,200.0,1,-2.82,59.9,45.0,100.0,5.6,9.17,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772089539.389,29.3,0,0,200.0,200.0,1,0.21,63.5,45.3,100.0,8.6,8.59,5.80,0.0,🔥 HIGH-SPEED CARVE!
1772089539.443,23.6,0,0,200.0,200.0,1,0.21,66.1,45.4,100.0,10.4,8.59,5.80,0.0,🔥 HIGH-SPEED CARVE!
1772089539.497,22.2,0,0,200.0,200.0,1,0.21,67.8,45.5,100.0,11.7,8.59,5.80,0.0,🔥 HIGH-SPEED CARVE!
1772089539.551,22.2,0,0,200.0,110.3,1,-18.02,69.1,-41.8,80.0,31.7,8.10,5.80,0.0,🔥 HIGH-SPEED CARVE!
1772089539.605,21.3,0,0,200.0,110.3,1,-18.02,70.0,-76.7,60.0,51.7,8.10,5.80,0.0,🔥 HIGH-SPEED CARVE!
1772089539.659,21.6,0,0,99.6,110.3,1,-47.40,70.6,-3.4,73.7,67.5,7.92,5.80,0.0,🔥 HIGH-SPEED CARVE!
