timestamp,dt_ms,laser_front_cm,sonar_front_cm,ir_left,ir_right,accel_x,accel_y,accel_z,accel_mag,gyro_z,rpm,battery_v,current_a,vision_mode,target_name,target_found,target_bbox_area,vision_steer_pull,avoid_state,raw_throttle,raw_steering,smooth_throttle,smooth_steering,motor_L,motor_R,sweep_active,sweep_esc_angle,sweep_esc_dist,rover_heading,target_bearing,laser_healthy,touch_x,touch_y,touch_conf,status_msg
1772466570.9200926,,100,999,False,False,0.015,-0.017,0.908,0.908,-0.57,0.0,11.87,5.79,,,,,,,,,,,,,,,,,,,,,,
1772466571.1836913,,100,55.9,False,False,-0.005,-0.019,1.056,1.056,-0.57,0.0,11.9,5.79,,,,,,,,,,,,,,,,,,,,,,
1772466571.4455721,,100,55.9,False,False,0.041,0.02,0.921,0.922,0.4,0.0,11.89,5.79,,,,,,,,,,,,,,,,,,,,,,
1772466571.7094765,,100,55.9,False,False,0.043,-0.03,0.857,0.858,-0.3,0.0,11.9,5.79,,,,,,,,,,,,,,,,,,,,,,
1772466571.9659188,,100,57.1,False,False,0.002,0.006,1.081,1.081,-1.01,0.0,11.9,5.79,,,,,,,,,,,,,,,,,,,,,,
1772466572.227901,,100,56.3,False,False,0.002,-0.021,0.936,0.936,0.41,0.0,11.89,5.79,,,,,,,,,,,,,,,,,,,,,,
1772466572.4911323,,100,55.9,False,False,-0.044,-0.02,1.111,1.112,0.11,0.0,11.89,5.79,,,,,,,,,,,,,,,,,,,,,,
1772466572.74753,,100,55.9,False,False,0.048,0.012,0.901,0.902,0.65,0.0,11.9,5.78,,,,,,,,,,,,,,,,,,,,,,
1772466573.0111136,,100,84.4,False,False,-0.009,-0.02,0.988,0.988,0.79,0.0,11.9,5.79,,,,,,,,,,,,,,,,,,,,,,
1772466573.2766266,,100,84.4,False,False,-0.01,-0.013,1.063,1.063,-1.09,0.0,11.71,5.83,,,,,,,,,,,,,,,,,,,,,,
1772466573.534894,,100,75.4,False,False,0.003,-0.008,1.015,1.015,-0.33,0.0,11.84,5.8,,,,,,,,,,,,,,,,,,,,,,
1772466573.7985702,,100,55.9,False,False,-0.017,-0.026,1.023,1.023,0.54,0.0,11.89,5.8,,,,,,,,,,,,,,,,,,,,,,
1772466574.0613117,,100,57.3,False,False,0.003,-0.013,1.067,1.067,-1.13,0.0,11.86,5.8,,,,,,,,,,,,,,,,,,,,,,
1772466574.3179624,,100,55.9,False,False,0.027,0.01,0.934,0.934,0.68,0.0,11.88,5.79,,,,,,,,,,,,,,,,,,,,,,
