Timestamp,Sonar_Dist_cm,IR_Left,IR_Right,Laser_Left_cm,Laser_Right_cm,Laser_Active,Gyro_Z_degs,Target_Throttle,Target_Steering,Actual_PWM_L,Actual_PWM_R,Battery_V,Current_A,RPM,Status_Msg
1772272038.661,61.9,0,0,200.0,200.0,1,-0.76,21.6,23.6,20.0,6.3,12.15,5.82,0.0,🔥 HIGH-SPEED CARVE!
1772272038.718,61.9,0,0,200.0,200.0,1,-0.76,36.7,33.0,40.0,2.3,12.15,5.82,0.0,🔥 HIGH-SPEED CARVE!
1772272038.774,61.9,0,0,200.0,200.0,1,-0.63,47.3,36.8,60.0,3.8,12.04,5.82,0.0,🔥 HIGH-SPEED CARVE!
1772272038.830,61.8,0,0,200.0,200.0,1,-0.63,54.7,38.3,80.0,9.4,12.04,5.82,0.0,🔥 HIGH-SPEED CARVE!
1772272038.886,62.0,0,0,200.0,200.0,1,-0.63,59.9,38.9,100.0,13.2,12.04,5.82,0.0,🔥 HIGH-SPEED CARVE!
1772272038.942,61.5,0,0,200.0,200.0,1,-8.63,63.5,39.2,100.0,14.4,11.71,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272038.998,61.8,0,0,200.0,200.0,1,-8.63,66.1,39.3,100.0,16.2,11.71,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272039.055,63.4,0,0,200.0,200.0,1,-8.63,67.8,39.0,100.0,17.8,11.71,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272039.111,62.5,0,0,200.0,200.0,1,-58.38,69.1,39.1,100.0,11.5,11.73,5.81,0.0,🔥 HIGH-SPEED CARVE!
1772272039.169,93.7,0,0,200.0,200.0,1,-58.38,66.7,33.8,100.0,15.6,11.73,5.81,0.0,🐍 SLALOM (Urg: 0.66)
1772272039.227,92.3,0,0,200.0,200.0,1,-58.38,65.0,29.6,100.0,19.5,11.73,5.81,0.0,🐍 SLALOM (Urg: 0.67)
1772272039.285,90.4,0,0,200.0,200.0,1,-84.03,63.5,26.4,100.0,18.5,11.80,5.81,0.0,🐍 SLALOM (Urg: 0.68)
1772272039.342,71.6,0,0,200.0,200.0,1,-84.03,59.4,24.2,100.0,18.2,11.80,5.81,0.0,🐍 SLALOM (Urg: 0.80)
1772272039.400,87.9,0,0,200.0,200.0,1,-75.26,59.0,22.0,96.3,21.7,11.78,5.81,15.0,🐍 SLALOM (Urg: 0.70)
1772272039.457,87.1,0,0,200.0,200.0,1,-75.26,58.7,20.3,94.0,23.4,11.78,5.81,15.0,🐍 SLALOM (Urg: 0.71)
1772272039.515,85.4,0,0,200.0,200.0,1,-75.26,58.2,19.0,91.9,24.4,11.78,5.81,15.0,🐍 SLALOM (Urg: 0.72)
1772272039.572,85.2,0,0,200.0,200.0,1,-62.74,57.8,18.0,88.5,27.2,11.81,5.81,15.0,🐍 SLALOM (Urg: 0.72)
1772272039.630,88.0,0,0,200.0,200.0,1,-62.74,58.2,17.1,87.8,28.6,11.81,5.81,15.0,🐍 SLALOM (Urg: 0.70)
1772272039.687,84.3,0,0,200.0,200.0,1,-62.74,57.8,16.5,86.7,29.0,11.81,5.81,15.0,🐍 SLALOM (Urg: 0.72)
1772272039.745,83.3,0,0,200.0,200.0,1,-60.89,57.3,16.0,85.3,29.3,11.79,5.81,15.0,🐍 SLALOM (Urg: 0.73)
1772272039.810,206.0,0,0,200.0,200.0,0,-60.89,67.1,12.8,91.3,42.9,11.79,5.81,15.0,🛣️ CRUISING (Throt 57%)
1772272039.867,81.9,0,0,200.0,200.0,1,-46.81,63.5,13.1,85.9,41.0,11.77,5.81,15.0,🐍 SLALOM (Urg: 0.74)
1772272039.931,195.2,0,0,200.0,200.0,0,-46.81,71.4,10.5,90.8,52.1,11.77,5.81,15.0,🛣️ CRUISING (Throt 63%)
1772272039.995,203.0,0,0,200.0,200.0,0,-46.81,77.0,8.4,93.9,60.1,11.77,5.81,15.0,🛣️ CRUISING (Throt 71%)
1772272040.060,199.9,0,0,200.0,200.0,0,11.60,80.9,6.7,87.1,74.7,11.65,5.81,15.0,🛣️ CRUISING (Throt 76%)
1772272040.124,198.5,0,0,200.0,200.0,0,11.60,83.6,5.4,88.2,79.1,11.65,5.81,15.0,🛣️ CRUISING (Throt 80%)
1772272040.188,197.4,0,0,200.0,200.0,0,-62.65,85.5,4.3,100.0,71.1,11.58,5.80,15.0,🛣️ CRUISING (Throt 83%)
1772272040.252,194.5,0,0,200.0,200.0,0,-62.65,86.9,3.4,100.0,73.2,11.58,5.80,15.0,🛣️ CRUISING (Throt 85%)
1772272040.312,129.1,0,0,200.0,200.0,1,-62.65,84.5,4.4,99.2,69.9,11.58,5.80,15.0,🐍 SLALOM (Urg: 0.44)
1772272040.376,190.3,0,0,200.0,200.0,0,-0.77,86.2,3.6,90.5,81.8,11.63,5.81,15.0,🛣️ CRUISING (Throt 84%)
