Timestamp,Sonar_Dist_cm,IR_Left,IR_Right,Laser_Left_cm,Laser_Right_cm,Laser_Active,Gyro_Z_degs,Target_Throttle,Target_Steering,Actual_PWM_L,Actual_PWM_R,Battery_V,Current_A,RPM,Status_Msg
1772089818.422,64.1,0,0,200.0,200.0,1,-1.47,21.6,23.2,20.0,6.0,9.22,5.80,0.0,🔥 HIGH-SPEED CARVE!
1772089818.478,64.5,0,0,200.0,200.0,1,-1.47,36.7,32.4,40.0,1.7,9.22,5.80,0.0,🔥 HIGH-SPEED CARVE!
1772089818.534,63.7,0,0,200.0,200.0,1,-1.02,47.3,36.2,60.0,4.4,9.03,5.80,0.0,🔥 HIGH-SPEED CARVE!
1772089818.590,63.6,0,0,200.0,200.0,1,-1.02,54.7,37.8,80.0,10.0,9.03,5.80,0.0,🔥 HIGH-SPEED CARVE!
1772089818.647,62.7,0,0,200.0,200.0,1,-1.02,59.9,38.5,100.0,13.5,9.03,5.80,0.0,🔥 HIGH-SPEED CARVE!
1772089818.707,136.1,0,0,200.0,200.0,1,-5.30,66.8,32.4,100.0,26.3,8.29,5.80,0.0,🐍 SLALOM (Urg: 0.40)
1772089818.764,74.4,0,0,200.0,200.0,1,-5.30,62.4,28.9,97.3,27.5,8.29,5.80,0.0,🐍 SLALOM (Urg: 0.79)
1772089818.820,62.1,0,0,200.0,72.1,1,-5.30,65.3,-48.4,77.3,47.5,8.29,5.80,0.0,🔥 HIGH-SPEED CARVE!
1772089818.880,133.2,0,0,200.0,72.1,1,-35.15,70.0,-44.6,57.3,67.5,7.95,5.79,3.0,🐍 SLALOM (Urg: 0.42)
1772089818.936,56.8,0,0,200.0,72.1,1,-35.15,70.6,-77.8,37.3,87.5,7.95,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089818.997,134.5,0,0,200.0,72.1,1,-35.15,74.0,-68.0,17.3,100.0,7.95,5.79,3.0,🐍 SLALOM (Urg: 0.41)
1772089819.055,94.3,0,0,200.0,72.1,1,-32.34,70.4,-63.7,0.0,100.0,7.75,5.79,3.0,🐍 SLALOM (Urg: 0.66)
1772089819.112,75.3,0,0,200.0,200.0,1,-32.34,64.9,-48.0,11.3,100.0,7.75,5.79,3.0,🐍 SLALOM (Urg: 0.78)
1772089819.169,76.7,0,0,200.0,200.0,1,48.50,61.3,-35.4,11.1,100.0,7.89,5.79,3.0,🐍 SLALOM (Urg: 0.77)
1772089819.228,119.9,0,0,61.4,200.0,1,48.50,65.1,-20.7,31.1,96.8,7.89,5.79,3.0,🐍 SLALOM (Urg: 0.50)
1772089819.284,59.9,0,0,61.4,200.0,1,48.50,67.2,51.7,51.1,76.8,7.89,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089819.339,43.4,0,0,61.4,200.0,1,14.94,68.6,80.7,71.1,56.8,7.76,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089819.394,43.0,0,0,61.4,81.8,1,14.94,69.6,47.9,91.1,36.8,7.76,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089819.449,42.4,0,0,61.4,81.8,1,14.94,70.3,34.8,100.0,28.8,7.76,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089819.504,42.8,0,0,61.4,81.8,1,13.50,70.8,29.6,100.0,36.6,7.48,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089819.560,50.6,0,0,200.0,81.8,1,13.50,71.2,-48.2,80.0,56.6,7.48,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089819.615,56.0,0,0,200.0,81.8,1,13.50,71.4,-79.3,60.0,76.6,7.48,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089819.675,123.9,0,0,200.0,200.0,1,-19.18,72.8,-61.6,40.0,96.6,7.56,5.79,3.0,🐍 SLALOM (Urg: 0.48)
1772089819.730,35.8,0,0,200.0,200.0,1,-19.18,72.6,2.7,60.0,76.6,7.56,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089819.784,35.5,0,0,200.0,200.0,1,22.27,72.4,28.4,80.0,56.6,7.50,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089819.839,35.5,0,0,51.0,200.0,1,22.27,72.3,71.3,100.0,36.6,7.50,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089819.893,36.7,0,0,51.0,200.0,1,22.27,72.2,88.5,100.0,16.6,7.50,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089819.948,43.0,0,0,51.0,200.0,1,-43.27,72.1,95.4,100.0,16.2,7.45,5.79,153.0,🔥 HIGH-SPEED CARVE!
1772089820.008,120.0,0,0,51.0,84.5,1,-43.27,73.0,78.2,100.0,15.0,7.45,5.79,153.0,🐍 SLALOM (Urg: 0.50)
1772089820.067,122.2,0,0,51.0,84.5,1,-43.27,73.9,64.3,100.0,5.4,7.45,5.79,153.0,🐍 SLALOM (Urg: 0.49)
1772089820.124,69.6,0,0,44.1,84.5,1,-80.33,73.3,51.4,100.0,0.4,7.60,5.79,153.0,🔥 HIGH-SPEED CARVE!
1772089820.181,75.9,0,0,44.1,84.5,1,-80.33,66.9,44.6,100.0,1.7,7.60,5.79,153.0,🐍 SLALOM (Urg: 0.78)
1772089820.238,75.4,0,0,44.1,84.5,1,-80.33,62.5,39.1,100.0,3.5,7.60,5.79,153.0,🐍 SLALOM (Urg: 0.78)
1772089820.294,58.9,0,0,44.1,200.0,1,-101.04,65.3,75.7,100.0,21.0,7.69,5.79,153.0,🔥 HIGH-SPEED CARVE!
1772089820.349,48.2,0,0,44.1,200.0,1,-101.04,67.3,90.3,100.0,19.5,7.69,5.79,153.0,🔥 HIGH-SPEED CARVE!
1772089820.404,46.6,0,0,44.1,200.0,1,-101.43,68.7,96.1,100.0,18.5,7.58,5.79,153.0,🔥 HIGH-SPEED CARVE!
1772089820.459,43.4,0,0,200.0,200.0,1,-101.43,69.7,65.2,100.0,13.8,7.58,5.79,153.0,🔥 HIGH-SPEED CARVE!
1772089820.514,42.2,0,0,200.0,200.0,1,-101.43,70.4,53.0,100.0,5.0,7.58,5.79,153.0,🔥 HIGH-SPEED CARVE!
1772089820.569,41.0,0,0,200.0,200.0,1,-78.97,70.9,48.3,100.0,1.4,7.57,5.79,153.0,🔥 HIGH-SPEED CARVE!
1772089820.624,43.2,0,0,200.0,200.0,1,-78.97,71.2,46.1,100.0,3.6,7.57,5.79,153.0,🔥 HIGH-SPEED CARVE!
1772089820.679,39.2,0,0,200.0,200.0,1,-78.97,71.4,45.7,100.0,4.1,7.57,5.79,153.0,🔥 HIGH-SPEED CARVE!
1772089820.733,22.5,0,0,200.0,200.0,1,-81.03,71.6,45.6,100.0,4.1,7.62,5.79,153.0,🔥 HIGH-SPEED CARVE!
1772089820.786,20.9,0,0,200.0,200.0,1,-81.03,71.7,45.5,100.0,4.2,7.62,5.79,153.0,🔥 HIGH-SPEED CARVE!
1772089821.948,53.9,0,0,200.0,200.0,1,63.98,21.6,24.9,80.0,80.0,7.03,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089822.004,55.7,0,0,200.0,200.0,1,106.40,36.7,34.6,61.6,60.0,7.06,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089822.060,56.4,0,0,200.0,200.0,1,106.40,47.3,38.3,76.6,40.0,7.06,5.79,3.0,🔥 HIGH-SPEED CARVE!
1772089822.116,53.9,0,0,200.0,200.0,1,59.38,54.7,40.3,93.3,20.0,7.13,5.79,108.0,🔥 HIGH-SPEED CARVE!
1772089822.172,52.3,0,0,200.0,200.0,1,59.38,59.9,41.3,99.7,20.1,7.13,5.79,108.0,🔥 HIGH-SPEED CARVE!
1772089822.227,51.0,0,0,83.4,200.0,1,59.38,63.5,76.5,100.0,12.3,7.13,5.79,108.0,🔥 HIGH-SPEED CARVE!
1772089822.283,49.6,0,0,83.4,200.0,1,-9.27,66.1,90.6,100.0,20.4,7.41,5.79,108.0,🔥 HIGH-SPEED CARVE!
1772089822.338,51.2,0,0,83.4,200.0,1,-9.27,67.8,96.2,100.0,19.2,7.41,5.79,108.0,🔥 HIGH-SPEED CARVE!
1772089822.394,49.3,0,0,83.4,83.2,1,-9.27,69.1,12.8,85.6,39.2,7.41,5.79,108.0,🔥 HIGH-SPEED CARVE!
1772089822.449,47.1,0,0,83.4,83.2,1,-52.81,70.0,-21.0,65.6,59.2,7.42,5.79,108.0,🔥 HIGH-SPEED CARVE!
1772089822.505,45.4,0,0,83.4,83.2,1,-52.81,70.6,-34.8,45.6,79.2,7.42,5.79,108.0,🔥 HIGH-SPEED CARVE!
1772089822.560,45.2,0,0,200.0,83.2,1,-52.81,71.0,-73.9,25.6,99.2,7.42,5.79,108.0,🔥 HIGH-SPEED CARVE!
1772089822.616,42.6,0,0,200.0,83.2,1,-42.91,71.3,-89.6,16.4,100.0,7.20,5.79,108.0,🔥 HIGH-SPEED CARVE!
1772089822.671,42.4,0,0,200.0,83.2,1,-42.91,71.5,-95.8,16.6,100.0,7.20,5.79,108.0,🔥 HIGH-SPEED CARVE!
1772089822.726,42.2,0,0,200.0,200.0,1,-42.91,71.7,-11.4,36.6,80.0,7.20,5.79,108.0,🔥 HIGH-SPEED CARVE!
1772089822.781,42.2,0,0,200.0,200.0,1,6.82,71.8,22.4,56.6,60.0,7.40,5.79,108.0,🔥 HIGH-SPEED CARVE!
1772089822.836,40.8,0,0,200.0,200.0,1,6.82,71.8,36.1,76.6,40.0,7.40,5.79,108.0,🔥 HIGH-SPEED CARVE!
