timestamp,dt_ms,laser_front_cm,sonar_front_cm,ir_left,ir_right,accel_x,accel_y,accel_z,accel_mag,gyro_z,rpm,battery_v,current_a,vision_mode,target_name,target_found,target_bbox_area,vision_steer_pull,avoid_state,raw_throttle,raw_steering,smooth_throttle,smooth_steering,motor_L,motor_R,sweep_active,sweep_esc_angle,sweep_esc_dist,rover_heading,target_bearing,laser_healthy,touch_x,touch_y,touch_conf,status_msg
1772530652.8936985,,100,999,True,True,0.004,-0.011,1.013,1.013,0.23,0.0,11.4,5.77,,,,,,,,,,,,,,,,,,,,,,
1772530653.1945603,,100,999,True,True,0.016,0.015,0.979,0.979,-0.03,0.0,11.39,5.78,,,,,,,,,,,,,,,,,,,,,,
1772530653.5432324,,100,999,True,True,-0.045,-0.022,1.051,1.052,0.85,0.0,11.39,5.78,,,,,,,,,,,,,,,,,,,,,,
1772530653.8918052,,100,999,True,True,0.026,-0.008,0.958,0.958,0.31,0.0,11.39,5.77,,,,,,,,,,,,,,,,,,,,,,
1772530654.1916556,,100,999,True,True,0.035,0.009,0.932,0.933,0.72,0.0,11.4,5.77,,,,,,,,,,,,,,,,,,,,,,
1772530654.5403671,,100,999,True,True,-0.019,-0.009,1.045,1.045,0.24,0.0,11.4,5.77,,,,,,,,,,,,,,,,,,,,,,
1772530654.8887756,,100,999,True,True,0.025,0.014,0.97,0.97,-0.17,0.0,11.39,5.77,,,,,,,,,,,,,,,,,,,,,,
1772530655.188644,,100,999,True,True,0.066,0.015,0.876,0.879,0.31,0.0,11.4,5.77,,,,,,,,,,,,,,,,,,,,,,
1772530655.5370414,,100,999,True,True,-0.002,0.015,1.016,1.016,-0.59,0.0,11.4,5.78,,,,,,,,,,,,,,,,,,,,,,
1772530655.8856492,,100,999,True,True,-0.018,0.001,0.996,0.996,-0.92,0.0,11.4,5.79,,,,,,,,,,,,,,,,,,,,,,
1772530656.1854503,,100,999,True,True,0.081,0.006,0.879,0.883,0.7,0.0,11.36,5.77,,,,,,,,,,,,,,,,,,,,,,
1772530656.5338855,,100,999,True,True,-0.038,0.03,1.066,1.067,0.35,0.0,11.34,5.79,,,,,,,,,,,,,,,,,,,,,,
