Timestamp,Sonar_Dist_cm,IR_Left,IR_Right,Laser_Left_cm,Laser_Right_cm,Laser_Active,Gyro_Z_degs,Target_Throttle,Target_Steering,Actual_PWM_L,Actual_PWM_R,Battery_V,Current_A,RPM,Status_Msg
1772089570.486,108.3,0,0,200.0,200.0,1,-0.95,20.7,2.2,20.0,18.0,8.95,5.81,0.0,🐍 SLALOM (Urg: 0.57)
1772089570.545,108.3,0,0,200.0,200.0,1,-0.95,35.2,4.0,40.0,30.4,8.95,5.81,0.0,🐍 SLALOM (Urg: 0.57)
1772089570.604,108.3,0,0,200.0,200.0,1,-0.95,45.3,5.4,51.8,38.8,8.95,5.81,0.0,🐍 SLALOM (Urg: 0.57)
1772089570.663,108.2,0,0,200.0,200.0,1,-0.95,52.4,6.5,60.3,44.6,8.63,5.80,0.0,🐍 SLALOM (Urg: 0.57)
1772089570.721,89.3,0,0,200.0,200.0,1,-0.95,54.4,7.9,63.8,45.0,8.63,5.80,0.0,🐍 SLALOM (Urg: 0.69)
1772089570.778,76.5,0,0,200.0,200.0,1,1.85,54.0,9.3,64.6,43.3,7.85,5.80,0.0,🐍 SLALOM (Urg: 0.77)
1772089570.836,92.6,0,0,200.0,200.0,1,1.85,56.1,10.0,67.6,44.6,7.85,5.80,0.0,🐍 SLALOM (Urg: 0.67)
1772089570.893,91.3,0,0,200.0,200.0,1,1.85,57.3,10.6,69.5,45.0,7.85,5.80,0.0,🐍 SLALOM (Urg: 0.68)
1772089570.951,89.1,0,0,200.0,200.0,1,-2.01,57.8,11.2,71.3,44.3,7.58,5.80,0.0,🐍 SLALOM (Urg: 0.69)
1772089571.008,79.5,0,0,200.0,200.0,1,-2.01,56.6,11.8,70.9,42.4,7.58,5.80,0.0,🐍 SLALOM (Urg: 0.75)
1772089571.066,84.7,0,0,200.0,200.0,1,-2.01,56.8,12.2,71.5,42.0,7.58,5.80,0.0,🐍 SLALOM (Urg: 0.72)
1772089571.123,86.9,0,0,200.0,200.0,1,-3.92,57.1,12.5,72.5,41.8,7.47,5.79,0.0,🐍 SLALOM (Urg: 0.71)
1772089571.181,82.7,0,0,69.2,200.0,1,-3.92,56.8,20.6,81.6,31.9,7.47,5.79,0.0,🐍 SLALOM (Urg: 0.73)
1772089571.238,79.5,0,0,69.2,200.0,1,-29.15,56.0,27.3,92.5,19.4,7.44,5.79,0.0,🐍 SLALOM (Urg: 0.75)
1772089571.295,81.3,0,0,69.2,200.0,1,-29.15,55.7,32.5,98.4,12.9,7.44,5.79,0.0,🐍 SLALOM (Urg: 0.74)
1772089571.352,77.2,0,0,69.2,200.0,1,-29.15,54.9,37.0,100.0,6.6,7.44,5.79,0.0,🐍 SLALOM (Urg: 0.77)
1772089571.409,75.6,0,0,69.2,200.0,1,-23.64,54.0,40.8,100.0,2.2,7.59,5.80,0.0,🐍 SLALOM (Urg: 0.78)
