timestamp,dt_ms,laser_front_cm,sonar_rear_cm,ir_left,ir_right,accel_x,accel_y,accel_z,accel_mag,gyro_z,rpm,battery_v,current_a,vision_mode,target_name,target_found,target_bbox_area,vision_steer_pull,avoid_state,raw_throttle,raw_steering,smooth_throttle,smooth_steering,motor_L,motor_R,sweep_active,sweep_esc_angle,sweep_esc_dist,status_msg
1772262540.129142,,999,76.6,False,False,0.001,0.008,1.013,1.013,-0.38,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262540.3945718,,999,76.6,False,False,-0.017,0.021,1.002,1.002,-0.09,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262540.6598942,,999,78.0,False,False,-0.011,-0.018,1.06,1.06,0.08,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262540.918293,,999,76.6,False,False,-0.02,-0.009,1.058,1.058,0.53,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262541.183099,,999,76.6,False,False,0.013,-0.008,0.978,0.978,0.93,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262541.44863,,999,76.6,False,False,0.02,-0.009,1.009,1.009,-0.02,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262541.7064433,,999,77.0,False,False,0.022,0.012,0.978,0.978,-0.33,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262541.9731007,,98.0,77.0,False,False,0.022,0.004,0.991,0.991,0.21,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262542.239787,,999,77.0,False,False,-0.073,0.007,1.159,1.161,-0.33,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262542.498113,,999,76.5,False,False,-0.004,0.004,1.055,1.055,-0.49,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262542.7636504,,999,77.0,False,False,0.015,-0.001,0.975,0.975,0.61,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262543.0283988,,999,76.6,False,False,0.01,0.006,0.98,0.98,-0.23,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262543.2863111,,999,77.0,False,False,0.025,-0.0,0.963,0.963,-0.24,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262543.5514293,,999,75.3,False,False,-0.027,0.006,1.049,1.049,0.14,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262543.8169956,,999,76.3,False,False,-0.02,-0.006,1.066,1.066,-0.16,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262544.0748682,,999,76.6,False,False,0.012,0.01,0.969,0.969,0.27,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262544.3408992,,999,76.6,False,False,-0.064,-0.009,1.119,1.121,-0.06,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262544.606007,,999,76.8,False,False,-0.0,-0.003,1.035,1.035,-0.43,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262544.863907,,999,76.6,False,False,-0.026,0.008,1.02,1.02,0.25,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262545.128619,,999,76.6,False,False,-0.027,0.006,1.088,1.088,-0.43,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262545.3932972,,999,76.6,False,False,0.031,-0.003,0.938,0.939,-0.45,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262545.6514192,,999,83.7,False,False,-0.069,0.003,1.141,1.143,-0.12,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262545.9159617,,999,76.6,False,False,-0.008,-0.001,1.046,1.046,-0.43,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262546.181207,,999,76.6,False,False,0.007,-0.019,0.985,0.985,0.75,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262546.4395049,,999,76.6,False,False,0.009,0.01,0.961,0.961,0.02,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262546.70527,,999,76.5,False,False,0.024,-0.006,0.965,0.965,-0.21,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262546.970824,,999,77.0,False,False,-0.003,-0.001,1.023,1.023,-0.33,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262547.2289793,,999,76.6,False,False,-0.021,0.006,1.033,1.033,0.0,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262547.4936485,,999,76.6,False,False,-0.02,0.004,1.051,1.051,-0.1,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262547.7579656,,999,76.6,False,False,0.025,-0.004,0.964,0.964,-0.06,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262548.0160356,,999,76.5,False,False,-0.016,0.004,1.002,1.002,0.13,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262548.280749,,999,76.6,False,False,0.007,-0.008,1.002,1.002,-0.19,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262548.5462208,,999,76.6,False,False,0.011,-0.015,0.99,0.99,0.7,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262548.8052003,,999,76.6,False,False,-0.012,-0.004,1.006,1.006,0.58,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262549.0721354,,999,76.6,False,False,0.004,-0.0,1.025,1.025,-0.37,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262549.3372803,,999,76.6,False,False,0.026,-0.015,0.98,0.981,-0.1,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262549.595469,,999,76.6,False,False,0.027,0.007,0.981,0.982,-0.15,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262549.8615525,,999,77.0,False,False,0.006,0.006,0.985,0.985,0.03,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262550.1264317,,999,77.0,False,False,0.009,-0.001,1.015,1.015,-0.56,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262550.3845172,,999,77.0,False,False,-0.002,0.006,1.028,1.028,-0.45,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262550.6496482,,999,77.0,False,False,-0.02,0.002,1.015,1.015,0.0,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262550.9148376,,999,76.6,False,False,-0.05,0.002,1.107,1.108,-0.13,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262551.173192,,999,77.0,False,False,-0.01,-0.014,1.043,1.043,-0.06,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262551.4388547,,999,75.9,False,False,-0.053,-0.004,1.133,1.134,-0.27,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262551.703801,,999,77.0,False,False,-0.028,-0.0,1.061,1.061,0.22,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262551.9619834,,999,76.6,False,False,-0.006,0.001,1.028,1.028,0.12,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262552.2278538,,999,77.0,False,False,0.016,-0.006,0.984,0.984,0.5,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262552.4943314,,999,77.0,False,False,-0.04,-0.005,1.062,1.063,0.03,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262552.7533922,,999,76.6,False,False,-0.055,-0.004,1.096,1.098,-0.08,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262553.0185962,,999,76.6,False,False,-0.048,-0.003,1.127,1.128,-0.25,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262553.2841864,,999,76.6,False,False,-0.044,-0.001,1.112,1.113,-0.23,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262553.5433495,,999,76.6,False,False,-0.033,0.005,1.045,1.046,0.26,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262553.8082924,,999,76.5,False,False,-0.016,-0.002,1.02,1.02,0.29,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262554.0731173,,999,76.6,False,False,-0.009,0.01,1.037,1.037,0.06,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262554.3322053,,999,75.5,False,False,-0.066,-0.007,1.114,1.116,-0.54,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262554.599225,,999,77.0,False,False,0.003,-0.012,1.04,1.04,-0.25,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262554.8638926,,999,77.0,False,False,0.005,-0.001,1.033,1.033,0.09,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262555.121809,,999,76.5,False,False,-0.069,0.005,1.131,1.133,-0.26,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262555.3875399,,999,77.0,False,False,-0.027,0.011,1.101,1.102,-0.58,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262555.6535804,,999,76.6,False,False,0.014,-0.006,1.003,1.003,-0.29,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262555.9122183,,999,76.4,False,False,-0.037,-0.008,1.063,1.064,0.42,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262556.1774166,,999,76.5,False,False,-0.022,-0.003,1.036,1.036,0.03,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262556.4427257,,999,77.0,False,False,-0.06,0.001,1.106,1.108,-0.18,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262556.7015529,,999,77.0,False,False,-0.059,0.003,1.134,1.136,-0.24,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262556.9663122,,999,77.0,False,False,-0.015,-0.005,1.013,1.013,0.3,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262557.2312217,,55.0,77.2,False,False,-0.042,0.006,1.07,1.071,-0.05,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262557.4894645,,999,78.3,False,False,-0.041,0.002,1.083,1.084,0.36,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262557.7547307,,999,77.0,False,False,0.016,-0.013,0.969,0.969,0.89,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262558.02002,,999,77.0,False,False,-0.006,0.001,1.007,1.007,0.01,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262558.2789836,,999,76.6,False,False,-0.049,-0.002,1.09,1.091,-0.19,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262558.543802,,999,76.6,False,False,0.019,-0.002,0.985,0.985,0.56,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262558.809241,,999,77.0,False,False,0.006,0.006,1.005,1.005,-0.4,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262559.067084,,999,76.4,False,False,-0.019,-0.002,1.021,1.021,0.19,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262559.3315196,,999,76.6,False,False,0.021,-0.009,0.99,0.99,-0.22,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262559.5959504,,999,76.6,False,False,-0.009,-0.01,1.048,1.048,-0.26,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262559.8549666,,999,77.0,False,False,-0.004,0.001,1.039,1.039,0.15,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262560.1195982,,999,77.0,False,False,-0.022,0.018,1.023,1.024,-0.05,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262560.3840158,,999,76.6,False,False,0.005,-0.019,1.01,1.01,-0.38,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262560.641612,,999,76.2,False,False,0.002,-0.003,1.032,1.032,0.31,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262560.906323,,999,76.6,False,False,-0.025,0.006,1.008,1.008,0.23,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262561.1711907,,999,76.6,False,False,0.021,-0.007,0.991,0.991,-0.52,0.0,12.21,5.83,,,,,,,,,,,,,,,,
