timestamp,dt_ms,laser_front_cm,sonar_front_cm,ir_left,ir_right,accel_x,accel_y,accel_z,accel_mag,gyro_z,rpm,battery_v,current_a,vision_mode,target_name,target_found,target_bbox_area,vision_steer_pull,avoid_state,raw_throttle,raw_steering,smooth_throttle,smooth_steering,motor_L,motor_R,sweep_active,sweep_esc_angle,sweep_esc_dist,rover_heading,target_bearing,laser_healthy,touch_x,touch_y,touch_conf,status_msg
1772271984.5757816,,999,88.9,False,False,-0.017,-0.006,1.066,1.066,-0.47,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271984.8349152,,999,96.0,False,False,-0.066,0.012,1.096,1.098,0.09,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271985.1009727,,999,89.7,False,False,-0.082,0.019,1.112,1.115,0.31,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271985.3665724,,999,88.9,False,False,-0.012,0.021,0.938,0.938,-0.09,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271985.624811,,999,88.9,False,False,0.034,-0.004,0.881,0.881,0.38,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271985.89134,,999,90.2,False,False,-0.034,0.007,1.07,1.07,0.01,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271986.1570673,,107.7,89.4,False,False,-0.069,0.012,1.058,1.06,-0.1,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271986.4154088,,107.5,90.2,False,False,-0.052,0.003,1.092,1.093,-0.18,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271986.681164,,999,89.7,False,False,-0.005,-0.002,0.987,0.987,0.34,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271986.9491148,,999,95.6,False,False,0.019,0.0,0.905,0.905,1.56,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271987.2076848,,999,95.5,False,False,0.009,-0.031,1.037,1.037,2.86,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271987.4742439,,119.4,97.5,False,False,-0.095,0.02,0.927,0.932,-11.77,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271987.7368367,,999,31.2,False,False,-0.127,0.087,0.682,0.699,-53.93,0.0,12.15,5.84,,,,,,,,,,,,,,,,,,,,,,
1772271987.9915433,,184.7,30.4,False,False,-0.077,0.144,0.708,0.726,-65.02,0.0,12.15,5.84,,,,,,,,,,,,,,,,,,,,,,
1772271988.2486486,,165.3,999,False,False,-0.248,0.392,0.784,0.911,-117.91,0.0,12.15,5.83,,,,,,,,,,,,,,,,,,,,,,
1772271988.5071812,,999,38.8,False,False,-0.298,0.243,0.803,0.89,-90.01,0.0,12.15,5.83,,,,,,,,,,,,,,,,,,,,,,
1772271988.7625926,,999,35.8,False,False,-0.111,0.142,0.793,0.813,-86.66,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271989.0223181,,999,33.5,False,False,0.024,0.072,0.879,0.882,-53.9,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271989.2820756,,999,34.3,False,False,0.097,-0.172,0.876,0.898,-6.87,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271989.537884,,999,36.6,False,False,0.068,-0.054,1.049,1.052,0.38,0.0,12.15,5.81,,,,,,,,,,,,,,,,,,,,,,
1772271989.797465,,999,36.5,False,False,0.047,-0.051,1.128,1.13,0.1,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271990.0576982,,999,48.8,False,False,0.081,-0.05,1.023,1.027,0.31,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271990.3132162,,999,35.6,False,False,0.06,-0.05,1.08,1.083,0.12,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271990.5739205,,51.6,53.4,False,False,0.09,-0.049,0.979,0.984,0.15,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271990.8346722,,51.1,29.1,False,False,0.096,-0.046,1.027,1.032,-0.37,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271991.0919063,,999,69.4,False,False,0.094,-0.039,0.968,0.973,-0.14,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271991.3547256,,999,68.6,False,False,0.054,-0.043,1.096,1.098,0.15,0.0,12.15,5.81,,,,,,,,,,,,,,,,,,,,,,
1772271991.6187253,,999,68.1,False,False,0.108,-0.049,1.014,1.021,-0.5,0.0,12.15,5.81,,,,,,,,,,,,,,,,,,,,,,
1772271991.8760831,,999,68.6,False,False,0.111,-0.052,1.023,1.03,-0.14,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271992.1393294,,999,68.6,False,False,0.052,-0.035,1.111,1.113,0.33,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271992.402856,,999,67.5,False,False,0.054,-0.058,1.058,1.061,-0.23,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
1772271992.6601965,,999,68.6,False,False,0.113,-0.053,1.011,1.018,0.05,0.0,12.15,5.82,,,,,,,,,,,,,,,,,,,,,,
